route_id,train_no,day_id,station_code,station_name,distance_km,scheduled_time,actual_time,delay_minutes,weather_factor,congestion_factor,dwell_extra_minutes,weather_delay_contrib,congestion_delay_contrib,random_event_delay_contrib,hour_of_day,station_seq
NJP-BJU,12000,0,NJP,New Jalpaiguri,0,2025-01-01 15:00:00.000000000,2025-01-01 15:09:50.561672000,9.8,1.55,1.08,0.09,8.25,1.5,0.0,15,0
NJP-BJU,12000,0,KIR,Kishanganj,55,2025-01-01 15:48:22.430767820,2025-01-01 16:01:13.233573756,12.8,1.43,0.97,0.08,6.38,-0.51,0.0,15,1
NJP-BJU,12000,0,BOE,Barsoi,110,2025-01-01 16:36:44.861535640,2025-01-01 16:57:21.262802245,20.6,1.58,1.06,1.73,8.64,1.24,0.0,16,2
NJP-BJU,12000,0,KNE,Katihar,150,2025-01-01 17:11:55.720275873,2025-01-01 17:36:12.885183862,24.3,1.49,0.93,0.23,7.4,-1.37,3.6,17,3
NJP-BJU,12000,0,MLDT,Malda Town,220,2025-01-01 18:13:29.723071281,2025-01-01 18:42:11.982941603,28.7,1.39,1.28,0.22,5.85,5.63,0.0,18,4
NJP-BJU,12000,0,NFK,New Farakka,260,2025-01-01 18:48:40.581811514,2025-01-01 19:19:51.974277686,31.2,1.37,1.26,0.42,5.54,5.14,0.0,18,5
NJP-BJU,12000,0,SGUJ,Sahibganj,320,2025-01-01 19:41:26.869921863,2025-01-01 20:18:54.950560901,37.5,1.47,1.34,1.71,7.1,6.83,0.0,19,6
NJP-BJU,12000,0,BJU,Barauni,420,2025-01-01 21:09:24.016772446,2025-01-01 21:39:49.619012090,30.4,1.32,0.96,0.24,4.78,-0.82,0.0,21,7
NJP-BJU,12000,1,NJP,New Jalpaiguri,0,2025-01-02 11:00:00.000000000,2025-01-02 11:10:42.858060152,10.7,1.63,0.99,0.32,9.39,-0.18,1.19,11,0
NJP-BJU,12000,1,KIR,Kishanganj,55,2025-01-02 11:48:22.430767820,2025-01-02 12:06:06.404020603,17.7,1.55,1.04,1.13,8.23,0.87,0.0,11,1
NJP-BJU,12000,1,BOE,Barsoi,110,2025-01-02 12:36:44.861535640,2025-01-02 12:57:35.943778028,20.9,1.42,1.02,0.32,6.35,0.35,1.42,12,2
NJP-BJU,12000,1,KNE,Katihar,150,2025-01-02 13:11:55.720275873,2025-01-02 13:36:28.656067008,24.5,1.41,1.02,3.29,6.2,0.46,0.0,13,3
NJP-BJU,12000,1,MLDT,Malda Town,220,2025-01-02 14:13:29.723071281,2025-01-02 14:35:53.058971327,22.4,1.34,0.96,0.4,5.04,-0.75,0.52,14,4
NJP-BJU,12000,1,NFK,New Farakka,260,2025-01-02 14:48:40.581811514,2025-01-02 15:10:48.490610601,22.1,1.23,1.08,1.51,3.4,1.55,0.0,14,5
NJP-BJU,12000,1,SGUJ,Sahibganj,320,2025-01-02 15:41:26.869921863,2025-01-02 16:06:58.502699050,25.5,1.43,1.05,2.61,6.49,0.94,0.0,15,6
NJP-BJU,12000,1,BJU,Barauni,420,2025-01-02 17:09:24.016772446,2025-01-02 17:32:06.286416625,22.7,1.33,0.96,0.62,4.95,-0.74,0.0,17,7
NJP-BJU,12000,2,NJP,New Jalpaiguri,0,2025-01-03 21:00:00.000000000,2025-01-03 21:02:03.230216130,2.1,1.17,0.93,0.92,2.6,-1.47,0.0,21,0
NJP-BJU,12000,2,KIR,Kishanganj,55,2025-01-03 21:48:22.430767820,2025-01-03 21:57:57.143913515,9.6,1.54,0.97,0.75,8.07,-0.68,0.0,21,1
NJP-BJU,12000,2,BOE,Barsoi,110,2025-01-03 22:36:44.861535640,2025-01-03 22:49:36.999181786,12.9,1.34,1.04,0.14,5.07,0.73,0.22,22,2
NJP-BJU,12000,2,KNE,Katihar,150,2025-01-03 23:11:55.720275873,2025-01-03 23:25:05.634539524,13.2,1.16,1.04,0.97,2.41,0.78,0.0,23,3
NJP-BJU,12000,2,MLDT,Malda Town,220,2025-01-04 00:13:29.723071281,2025-01-04 00:32:09.581809705,18.7,1.5,1.04,1.29,7.44,0.71,0.0,0,4
NJP-BJU,12000,2,NFK,New Farakka,260,2025-01-04 00:48:40.581811514,2025-01-04 01:08:39.780487813,20.0,1.32,0.99,0.3,4.73,-0.13,2.01,0,5
NJP-BJU,12000,2,SGUJ,Sahibganj,320,2025-01-04 01:41:26.869921863,2025-01-04 02:06:47.544575911,25.3,1.2,1.03,7.71,3.01,0.64,0.0,1,6
NJP-BJU,12000,2,BJU,Barauni,420,2025-01-04 03:09:24.016772446,2025-01-04 03:37:11.764623673,27.8,1.66,0.97,0.73,9.9,-0.57,0.0,3,7
NJP-BJU,12000,3,NJP,New Jalpaiguri,0,2025-01-04 19:00:00.000000000,2025-01-04 19:11:37.713636029,11.6,1.36,1.2,2.14,5.38,4.1,0.0,19,0
NJP-BJU,12000,3,KIR,Kishanganj,55,2025-01-04 19:48:22.430767820,2025-01-04 20:07:54.369341377,19.5,1.05,1.34,0.97,0.82,6.87,2.74,19,1
NJP-BJU,12000,3,BOE,Barsoi,110,2025-01-04 20:36:44.861535640,2025-01-04 21:02:44.937542854,26.0,1.41,1.25,1.17,6.22,4.94,0.0,20,2
NJP-BJU,12000,3,KNE,Katihar,150,2025-01-04 21:11:55.720275873,2025-01-04 21:40:51.680080657,28.9,1.72,0.98,0.31,10.81,-0.38,0.0,21,3
NJP-BJU,12000,3,MLDT,Malda Town,220,2025-01-04 22:13:29.723071281,2025-01-04 22:43:44.278900343,30.2,1.44,1.11,0.97,6.66,2.17,0.18,22,4
NJP-BJU,12000,3,NFK,New Farakka,260,2025-01-04 22:48:40.581811514,2025-01-04 23:12:44.661762323,24.1,1.16,0.95,1.49,2.43,-1.02,0.0,22,5
NJP-BJU,12000,3,SGUJ,Sahibganj,320,2025-01-04 23:41:26.869921863,2025-01-05 00:01:24.866698667,20.0,1.12,1.05,0.23,1.87,1.02,0.0,23,6
